0,1,2,3,4,5,6,7,8,9,10
waffles,sparkling wine,,,,,,,,,
berries,whipped/sour cream,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
whipped/sour cream,margarine,,,,,,,,,
beef,beef,,,,,,,,,
shopping bags,frozen vegetables,,,,,,,,,
pastry,UHT-milk,,,,,,,,,
citrus fruit,sugar,,,,,,,,,
sparkling wine,female sanitary products,,,,,,,,,
beef,soda,,,,,,,,,
soda,frankfurter,cream cheese ,butter,,,,,,,
other vegetables,detergent,mayonnaise,dishes,,,,,,,
whole milk,frozen fish,,,,,,,,,
pork,pork,margarine,other vegetables,,,,,,,
bottled water,frozen dessert,root vegetables,,,,,,,,
pip fruit,soda,jam,,,,,,,,
sugar,dish cleaner,,,,,,,,,
liver loaf,pip fruit,,,,,,,,,
beverages,liquor,shopping bags,,,,,,,,
cat food,soda,,,,,,,,,
chicken,red/blush wine,,,,,,,,,
pork,frozen vegetables,,,,,,,,,
tropical fruit,salt,,,,,,,,,
soda,frozen meals,,,,,,,,,
instant coffee,yogurt,other vegetables,,,,,,,,
whole milk,hygiene articles,,,,,,,,,
whole milk,waffles,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
pastry,snack products,,,,,,,,,
hard cheese,salty snack,,,,,,,,,
turkey,yogurt,,,,,,,,,
long life bakery product,ice cream,,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
bottled beer,beverages,,,,,,,,,
meat,frozen potato products,,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
root vegetables,butter milk,shopping bags,cream cheese ,,,,,,,
other vegetables,yogurt,,,,,,,,,
other vegetables,white bread,,,,,,,,,
herbs,root vegetables,,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
shopping bags,domestic eggs,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
frozen vegetables,rice,,,,,,,,,
whipped/sour cream,newspapers,,,,,,,,,
chocolate,coffee,,,,,,,,,
ham,citrus fruit,cling film/bags,,,,,,,,
pastry,soda,,,,,,,,,
pip fruit,tropical fruit,waffles,root vegetables,,,,,,,
sausage,rolls/buns,,,,,,,,,
curd,yogurt,,,,,,,,,
butter,rolls/buns,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
whole milk,candy,,,,,,,,,
dessert,other vegetables,whipped/sour cream,,,,,,,,
root vegetables,coffee,,,,,,,,,
coffee,UHT-milk,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
ice cream,soda,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
pastry,brown bread,yogurt,,,,,,,,
cat food,candles,whole milk,,,,,,,,
whole milk,whole milk,,,,,,,,,
fruit/vegetable juice,soda,,,,,,,,,
butter milk,long life bakery product,,,,,,,,,
ham,domestic eggs,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
coffee,curd cheese,,,,,,,,,
fruit/vegetable juice,bottled water,,,,,,,,,
yogurt,whole milk,,,,,,,,,
ham,other vegetables,napkins,,,,,,,,
rolls/buns,bottled water,whole milk,,,,,,,,
white bread,salty snack,,,,,,,,,
root vegetables,berries,,,,,,,,,
soda,curd,soda,,,,,,,,
pork,brown bread,,,,,,,,,
condensed milk,other vegetables,softener,,,,,,,,
bottled water,chicken,processed cheese,whole milk,,,,,,,
citrus fruit,butter milk,cream cheese ,,,,,,,,
curd,tropical fruit,,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
bottled water,bottled water,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
pip fruit,whole milk,margarine,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
yogurt,pet care,,,,,,,,,
berries,oil,cat food,,,,,,,,
tropical fruit,coffee,softener,soda,,,,,,,
soda,salt,sauces,curd,sugar,margarine,,,,,
sausage,tropical fruit,rolls/buns,,,,,,,,
sausage,sausage,frankfurter,sausage,whole milk,other vegetables,hygiene articles,shopping bags,shopping bags,,
bottled beer,whole milk,soda,whole milk,soft cheese,soda,shopping bags,sugar,,,
bottled water,soda,margarine,candy,,,,,,,
canned beer,white bread,male cosmetics,chocolate,,,,,,,
pip fruit,abrasive cleaner,,,,,,,,,
other vegetables,pip fruit,fruit/vegetable juice,,,,,,,,
misc. beverages,cream cheese ,,,,,,,,,
sugar,bottled water,,,,,,,,,
whole milk,soda,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
ham,onions,,,,,,,,,
sausage,curd,,,,,,,,,
other vegetables,dishes,,,,,,,,,
pastry,butter,,,,,,,,,
whole milk,oil,,,,,,,,,
other vegetables,white bread,,,,,,,,,
hamburger meat,newspapers,,,,,,,,,
mustard,yogurt,cat food,bottled beer,,,,,,,
frankfurter,whole milk,whole milk,specialty bar,,,,,,,
frankfurter,canned beer,,,,,,,,,
bottled beer,whole milk,other vegetables,,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
white wine,sliced cheese,whole milk,oil,rolls/buns,,,,,,
frozen meals,margarine,semi-finished bread,,,,,,,,
tropical fruit,hard cheese,,,,,,,,,
sausage,herbs,,,,,,,,,
tropical fruit,ice cream,,,,,,,,,
pasta,shopping bags,,,,,,,,,
soda,ice cream,,,,,,,,,
other vegetables,mayonnaise,beverages,,,,,,,,
sausage,processed cheese,,,,,,,,,
tropical fruit,pasta,napkins,,,,,,,,
citrus fruit,domestic eggs,bottled water,,,,,,,,
whole milk,yogurt,pasta,,,,,,,,
hamburger meat,whole milk,whipped/sour cream,,,,,,,,
butter milk,butter,,,,,,,,,
hygiene articles,vinegar,,,,,,,,,
canned beer,sausage,other vegetables,rolls/buns,,,,,,,
ham,spread cheese,,,,,,,,,
hard cheese,soda,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
whipped/sour cream,white bread,,,,,,,,,
rolls/buns,curd,,,,,,,,,
chewing gum,rolls/buns,,,,,,,,,
root vegetables,processed cheese,,,,,,,,,
canned fish,canned fish,,,,,,,,,
root vegetables,shopping bags,frozen vegetables,,,,,,,,
soft cheese,chewing gum,cling film/bags,,,,,,,,
tropical fruit,sausage,root vegetables,spread cheese,,,,,,,
frozen vegetables,coffee,,,,,,,,,
bottled water,soda,nut snack,,,,,,,,
rolls/buns,pip fruit,margarine,,,,,,,,
pip fruit,butter,whole milk,other vegetables,,,,,,,
tropical fruit,grapes,sugar,,,,,,,,
bottled beer,tropical fruit,white wine,,,,,,,,
canned beer,newspapers,newspapers,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
other vegetables,frozen meals,rolls/buns,canned beer,white bread,,,,,,
specialty bar,semi-finished bread,,,,,,,,,
tropical fruit,specialty bar,,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
dessert,hamburger meat,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
onions,frozen vegetables,,,,,,,,,
dessert,newspapers,bottled water,,,,,,,,
rolls/buns,ice cream,,,,,,,,,
whole milk,soda,,,,,,,,,
citrus fruit,white bread,,,,,,,,,
pastry,canned beer,,,,,,,,,
pot plants,soda,,,,,,,,,
frozen fish,pastry,,,,,,,,,
nut snack,bottled water,,,,,,,,,
root vegetables,soda,,,,,,,,,
sausage,napkins,,,,,,,,,
rolls/buns,margarine,,,,,,,,,
whole milk,cat food,,,,,,,,,
whipped/sour cream,waffles,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
tropical fruit,soda,,,,,,,,,
soda,frozen vegetables,cream cheese ,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
ice cream,whole milk,,,,,,,,,
napkins,dishes,,,,,,,,,
butter milk,yogurt,yogurt,margarine,,,,,,,
whole milk,rolls/buns,,,,,,,,,
curd,cream cheese ,,,,,,,,,
specialty cheese,onions,,,,,,,,,
citrus fruit,citrus fruit,whole milk,newspapers,detergent,yogurt,salty snack,,,,
frozen meals,butter,whole milk,brandy,,,,,,,
ham,tropical fruit,frozen meals,sparkling wine,,,,,,,
tropical fruit,hamburger meat,bottled beer,yogurt,,,,,,,
specialty chocolate,domestic eggs,,,,,,,,,
newspapers,newspapers,,,,,,,,,
chicken,frozen vegetables,candles,,,,,,,,
tropical fruit,chicken,beef,pasta,onions,long life bakery product,whole milk,jam,,,
onions,other vegetables,,,,,,,,,
whole milk,whole milk,candles,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
citrus fruit,chocolate,,,,,,,,,
other vegetables,other vegetables,whole milk,,,,,,,,
ham,whole milk,,,,,,,,,
beverages,chewing gum,rolls/buns,,,,,,,,
other vegetables,whole milk,,,,,,,,,
pastry,bottled beer,,,,,,,,,
citrus fruit,instant coffee,,,,,,,,,
chicken,whole milk,specialty bar,,,,,,,,
meat,frozen meals,whole milk,domestic eggs,,,,,,,
misc. beverages,frozen vegetables,,,,,,,,,
other vegetables,pip fruit,domestic eggs,,,,,,,,
citrus fruit,cream cheese ,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
other vegetables,curd,,,,,,,,,
whole milk,coffee,,,,,,,,,
citrus fruit,domestic eggs,,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
soda,photo/film,,,,,,,,,
sausage,other vegetables,,,,,,,,,
citrus fruit,curd,,,,,,,,,
fruit/vegetable juice,margarine,,,,,,,,,
curd,root vegetables,,,,,,,,,
flour,grapes,frankfurter,bottled beer,citrus fruit,grapes,other vegetables,cat food,frozen vegetables,,
canned beer,cake bar,,,,,,,,,
chewing gum,coffee,napkins,brown bread,,,,,,,
yogurt,beverages,,,,,,,,,
sausage,rolls/buns,curd,salty snack,whipped/sour cream,hard cheese,,,,,
turkey,shopping bags,,,,,,,,,
coffee,sugar,,,,,,,,,
tropical fruit,margarine,,,,,,,,,
newspapers,cream cheese ,long life bakery product,,,,,,,,
berries,canned fish,,,,,,,,,
chicken,pastry,,,,,,,,,
dessert,shopping bags,,,,,,,,,
whipped/sour cream,cream cheese ,,,,,,,,,
whipped/sour cream,shopping bags,pasta,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
canned beer,organic products,whole milk,frozen dessert,misc. beverages,,,,,,
root vegetables,chewing gum,margarine,,,,,,,,
meat,tropical fruit,rolls/buns,,,,,,,,
nuts/prunes,coffee,,,,,,,,,
citrus fruit,soda,,,,,,,,,
citrus fruit,curd,margarine,,,,,,,,
chicken,white bread,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
sausage,root vegetables,,,,,,,,,
domestic eggs,napkins,,,,,,,,,
frozen fish,salty snack,,,,,,,,,
citrus fruit,frankfurter,salty snack,newspapers,white wine,,,,,,
tropical fruit,yogurt,,,,,,,,,
other vegetables,waffles,rolls/buns,chocolate,,,,,,,
citrus fruit,hamburger meat,,,,,,,,,
candles,soda,,,,,,,,,
processed cheese,rolls/buns,,,,,,,,,
whipped/sour cream,onions,other vegetables,yogurt,rolls/buns,,,,,,
fish,newspapers,,,,,,,,,
beef,instant coffee,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
pastry,condensed milk,rice,tropical fruit,chocolate marshmallow,,,,,,
pastry,bottled beer,,,,,,,,,
berries,herbs,,,,,,,,,
hamburger meat,soda,,,,,,,,,
rolls/buns,misc. beverages,soda,,,,,,,,
soft cheese,butter milk,shopping bags,,,,,,,,
red/blush wine,shopping bags,,,,,,,,,
bottled water,chocolate,jam,,,,,,,,
pip fruit,yogurt,flour,rolls/buns,,,,,,,
grapes,other vegetables,,,,,,,,,
soda,margarine,soda,,,,,,,,
hygiene articles,hygiene articles,pastry,,,,,,,,
rolls/buns,bottled beer,misc. beverages,salt,,,,,,,
chicken,pastry,waffles,,,,,,,,
tropical fruit,white bread,red/blush wine,,,,,,,,
sausage,whole milk,cake bar,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
curd,other vegetables,,,,,,,,,
canned beer,yogurt,,,,,,,,,
condensed milk,other vegetables,,,,,,,,,
tropical fruit,curd,chocolate,,,,,,,,
coffee,tidbits,,,,,,,,,
liver loaf,bottled beer,,,,,,,,,
mayonnaise,curd,,,,,,,,,
brown bread,domestic eggs,,,,,,,,,
canned beer,syrup,brown bread,rice,,,,,,,
soda,flour,pudding powder,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
canned beer,dishes,,,,,,,,,
brown bread,rolls/buns,sliced cheese,,,,,,,,
chicken,pork,,,,,,,,,
salty snack,curd,,,,,,,,,
spices,ice cream,,,,,,,,,
brown bread,curd,,,,,,,,,
ice cream,hamburger meat,shopping bags,whole milk,soft cheese,,,,,,
whole milk,root vegetables,curd,yogurt,,,,,,,
yogurt,curd,,,,,,,,,
butter,potato products,,,,,,,,,
whole milk,beverages,,,,,,,,,
butter milk,bottled beer,rice,canned vegetables,,,,,,,
onions,whole milk,,,,,,,,,
berries,other vegetables,,,,,,,,,
root vegetables,specialty chocolate,whisky,,,,,,,,
tropical fruit,pastry,,,,,,,,,
beef,brown bread,frozen fish,,,,,,,,
whole milk,beef,whipped/sour cream,whole milk,curd cheese,,,,,,
root vegetables,white bread,pasta,bottled beer,,,,,,,
pork,other vegetables,,,,,,,,,
rolls/buns,tropical fruit,,,,,,,,,
frankfurter,sausage,,,,,,,,,
pork,domestic eggs,,,,,,,,,
sausage,whole milk,,,,,,,,,
organic sausage,processed cheese,oil,,,,,,,,
curd,rolls/buns,,,,,,,,,
pork,mustard,,,,,,,,,
chicken,canned beer,frozen vegetables,whipped/sour cream,,,,,,,
whole milk,soda,hygiene articles,canned beer,,,,,,,
whole milk,berries,canned beer,sausage,chicken,canned beer,zwieback,beverages,,,
bottled water,detergent,,,,,,,,,
pip fruit,pork,brown bread,whole milk,,,,,,,
yogurt,pet care,,,,,,,,,
other vegetables,whole milk,sliced cheese,,,,,,,,
UHT-milk,soft cheese,,,,,,,,,
soft cheese,whipped/sour cream,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
herbs,sugar,,,,,,,,,
waffles,fruit/vegetable juice,,,,,,,,,
citrus fruit,pickled vegetables,,,,,,,,,
ham,specialty bar,,,,,,,,,
chicken,whole milk,butter,soda,,,,,,,
citrus fruit,beef,rolls/buns,whole milk,,,,,,,
canned beer,rolls/buns,,,,,,,,,
pet care,shopping bags,,,,,,,,,
yogurt,male cosmetics,sugar,salt,,,,,,,
whole milk,cream cheese ,,,,,,,,,
other vegetables,zwieback,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
zwieback,salty snack,,,,,,,,,
chicken,other vegetables,bathroom cleaner,chicken,grapes,fruit/vegetable juice,fruit/vegetable juice,soda,,,
berries,other vegetables,,,,,,,,,
whole milk,domestic eggs,rolls/buns,long life bakery product,,,,,,,
soda,tropical fruit,,,,,,,,,
candy,canned fish,,,,,,,,,
rolls/buns,soda,chocolate,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
other vegetables,margarine,,,,,,,,,
soda,pork,,,,,,,,,
butter,frozen vegetables,,,,,,,,,
liver loaf,frozen vegetables,soda,curd,,,,,,,
chicken,other vegetables,,,,,,,,,
sausage,other vegetables,,,,,,,,,
UHT-milk,cream cheese ,cream cheese ,waffles,,,,,,,
butter,citrus fruit,margarine,soda,whole milk,roll products ,,,,,
brown bread,shopping bags,soda,,,,,,,,
soda,bottled water,hygiene articles,,,,,,,,
margarine,root vegetables,,,,,,,,,
berries,whole milk,,,,,,,,,
citrus fruit,specialty fat,,,,,,,,,
softener,salt,whole milk,,,,,,,,
other vegetables,butter milk,long life bakery product,,,,,,,,
root vegetables,spread cheese,,,,,,,,,
whole milk,whole milk,whole milk,pip fruit,waffles,whole milk,coffee,chocolate,,,
whole milk,meat,yogurt,yogurt,yogurt,,,,,,
other vegetables,white bread,whole milk,,,,,,,,
root vegetables,yogurt,,,,,,,,,
sausage,oil,whole milk,,,,,,,,
tropical fruit,other vegetables,domestic eggs,,,,,,,,
brown bread,pastry,,,,,,,,,
whole milk,detergent,,,,,,,,,
citrus fruit,root vegetables,yogurt,soft cheese,,,,,,,
canned beer,bottled water,,,,,,,,,
soda,curd,,,,,,,,,
grapes,root vegetables,shopping bags,,,,,,,,
canned beer,pasta,,,,,,,,,
canned beer,napkins,specialty bar,,,,,,,,
turkey,grapes,soda,,,,,,,,
rolls/buns,soda,red/blush wine,,,,,,,,
yogurt,hygiene articles,,,,,,,,,
frankfurter,canned fish,,,,,,,,,
beef,newspapers,,,,,,,,,
sausage,newspapers,cream,,,,,,,,
berries,whipped/sour cream,bottled water,,,,,,,,
citrus fruit,sweet spreads,,,,,,,,,
bottled water,newspapers,,,,,,,,,
citrus fruit,pickled vegetables,,,,,,,,,
ready soups,pastry,,,,,,,,,
specialty chocolate,vinegar,,,,,,,,,
frankfurter,cream cheese ,,,,,,,,,
pip fruit,soda,brown bread,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
pip fruit,beef,whole milk,other vegetables,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
tropical fruit,herbs,,,,,,,,,
pip fruit,whole milk,brown bread,,,,,,,,
soda,domestic eggs,sliced cheese,soda,,,,,,,
whipped/sour cream,baking powder,,,,,,,,,
coffee,shopping bags,,,,,,,,,
chocolate,white wine,,,,,,,,,
root vegetables,butter,,,,,,,,,
citrus fruit,soda,,,,,,,,,
hamburger meat,onions,,,,,,,,,
sausage,rolls/buns,pickled vegetables,,,,,,,,
butter,dog food,,,,,,,,,
rolls/buns,waffles,,,,,,,,,
citrus fruit,soda,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
yogurt,chocolate,,,,,,,,,
onions,cat food,,,,,,,,,
whole milk,butter milk,beverages,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
specialty chocolate,white bread,,,,,,,,,
packaged fruit/vegetables,rolls/buns,,,,,,,,,
other vegetables,condensed milk,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
sausage,whole milk,detergent,rolls/buns,,,,,,,
zwieback,citrus fruit,,,,,,,,,
ready soups,baking powder,,,,,,,,,
soda,yogurt,,,,,,,,,
yogurt,seasonal products,,,,,,,,,
bottled water,bottled water,,,,,,,,,
sausage,whole milk,,,,,,,,,
pork,pip fruit,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
curd,soda,shopping bags,,,,,,,,
tropical fruit,whole milk,fruit/vegetable juice,whole milk,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
soda,frozen meals,soft cheese,curd,,,,,,,
condensed milk,domestic eggs,,,,,,,,,
bottled beer,bottled beer,,,,,,,,,
soft cheese,flower (seeds),,,,,,,,,
root vegetables,dessert,,,,,,,,,
seasonal products,onions,,,,,,,,,
pork,curd,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
root vegetables,flour,female sanitary products,packaged fruit/vegetables,brown bread,rolls/buns,rolls/buns,sauces,,,
citrus fruit,other vegetables,,,,,,,,,
pork,light bulbs,waffles,,,,,,,,
canned beer,bottled beer,chocolate,,,,,,,,
soda,semi-finished bread,,,,,,,,,
other vegetables,tropical fruit,sweet spreads,,,,,,,,
dessert,rolls/buns,,,,,,,,,
dessert,soda,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
root vegetables,softener,,,,,,,,,
finished products,bottled beer,,,,,,,,,
bottled water,whole milk,,,,,,,,,
dental care,other vegetables,pet care,,,,,,,,
fruit/vegetable juice,citrus fruit,pastry,tropical fruit,margarine,,,,,,
candy,rolls/buns,coffee,yogurt,,,,,,,
other vegetables,beef,,,,,,,,,
beef,other vegetables,bottled water,,,,,,,,
white wine,whole milk,misc. beverages,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
whole milk,brown bread,,,,,,,,,
other vegetables,specialty fat,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
newspapers,butter,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
other vegetables,citrus fruit,root vegetables,whipped/sour cream,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
detergent,newspapers,other vegetables,ketchup,,,,,,,
pork,oil,,,,,,,,,
frozen fish,specialty chocolate,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
root vegetables,margarine,bottled water,,,,,,,,
brown bread,rolls/buns,soda,whole milk,,,,,,,
whole milk,margarine,,,,,,,,,
hamburger meat,butter milk,seasonal products,,,,,,,,
yogurt,other vegetables,,,,,,,,,
canned beer,herbs,margarine,,,,,,,,
dessert,beverages,,,,,,,,,
beef,cat food,,,,,,,,,
sweet spreads,frozen fish,,,,,,,,,
frozen meals,fruit/vegetable juice,,,,,,,,,
butter,domestic eggs,bottled water,curd,,,,,,,
canned beer,white bread,,,,,,,,,
candles,rolls/buns,other vegetables,rolls/buns,,,,,,,
soda,roll products ,,,,,,,,,
shopping bags,white wine,,,,,,,,,
softener,chocolate,,,,,,,,,
domestic eggs,specialty fat,,,,,,,,,
white bread,zwieback,,,,,,,,,
sausage,other vegetables,,,,,,,,,
other vegetables,chicken,popcorn,margarine,,,,,,,
pip fruit,snack products,,,,,,,,,
flour,bottled water,,,,,,,,,
bottled beer,cat food,,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
beverages,shopping bags,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
soda,candles,,,,,,,,,
berries,curd,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
butter milk,shopping bags,,,,,,,,,
mustard,soda,,,,,,,,,
rolls/buns,make up remover,,,,,,,,,
specialty chocolate,butter milk,,,,,,,,,
coffee,bottled beer,shopping bags,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
meat,root vegetables,,,,,,,,,
bottled beer,white bread,,,,,,,,,
processed cheese,white bread,,,,,,,,,
pork,grapes,,,,,,,,,
whipped/sour cream,shopping bags,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
chicken,salty snack,,,,,,,,,
citrus fruit,pork,root vegetables,dishes,curd,rolls/buns,candy,yogurt,,,
bottled beer,frankfurter,UHT-milk,pot plants,,,,,,,
pastry,bottled water,,,,,,,,,
brown bread,fruit/vegetable juice,,,,,,,,,
sausage,specialty bar,,,,,,,,,
snack products,mayonnaise,bottled water,,,,,,,,
bottled water,meat spreads,,,,,,,,,
whole milk,butter,,,,,,,,,
salty snack,rolls/buns,,,,,,,,,
ice cream,beef,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
sausage,pip fruit,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
pasta,brown bread,beef,long life bakery product,citrus fruit,whipped/sour cream,specialty cheese,frozen vegetables,,,
yogurt,curd,rolls/buns,whipped/sour cream,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
oil,processed cheese,,,,,,,,,
yogurt,waffles,domestic eggs,,,,,,,,
whole milk,soda,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
pip fruit,white wine,shopping bags,,,,,,,,
whole milk,whole milk,,,,,,,,,
brown bread,newspapers,margarine,,,,,,,,
specialty bar,soda,,,,,,,,,
cat food,newspapers,fruit/vegetable juice,,,,,,,,
frozen dessert,herbs,brown bread,,,,,,,,
newspapers,bottled beer,domestic eggs,,,,,,,,
canned beer,margarine,,,,,,,,,
hamburger meat,bottled beer,,,,,,,,,
pet care,newspapers,dog food,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
tropical fruit,citrus fruit,domestic eggs,rolls/buns,,,,,,,
oil,bottled water,whipped/sour cream,,,,,,,,
whole milk,specialty chocolate,,,,,,,,,
popcorn,cat food,,,,,,,,,
herbs,packaged fruit/vegetables,,,,,,,,,
rolls/buns,whole milk,onions,,,,,,,,
grapes,chocolate,,,,,,,,,
domestic eggs,fruit/vegetable juice,,,,,,,,,
pip fruit,root vegetables,pip fruit,spread cheese,,,,,,,
tropical fruit,soda,oil,,,,,,,,
whole milk,salty snack,pip fruit,whole milk,,,,,,,
other vegetables,brown bread,whipped/sour cream,,,,,,,,
soda,onions,,,,,,,,,
berries,brown bread,,,,,,,,,
long life bakery product,beef,tidbits,butter,,,,,,,
chocolate,long life bakery product,,,,,,,,,
ice cream,beef,yogurt,canned beer,,,,,,,
pork,frozen fish,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
other vegetables,sliced cheese,canned vegetables,,,,,,,,
specialty bar,newspapers,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
ham,napkins,,,,,,,,,
root vegetables,frozen meals,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
ham,whole milk,,,,,,,,,
pork,grapes,,,,,,,,,
white bread,white bread,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
meat,root vegetables,sliced cheese,,,,,,,,
onions,hard cheese,,,,,,,,,
sausage,other vegetables,frankfurter,coffee,pastry,bottled water,soda,whole milk,,,
bottled beer,whole milk,bottled water,,,,,,,,
beef,sparkling wine,frozen fish,chewing gum,,,,,,,
rolls/buns,pork,pastry,other vegetables,soda,pot plants,newspapers,,,,
tropical fruit,whole milk,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
frozen fish,baking powder,,,,,,,,,
canned beer,whipped/sour cream,misc. beverages,,,,,,,,
beverages,specialty fat,,,,,,,,,
ice cream,pork,,,,,,,,,
frankfurter,coffee,,,,,,,,,
rolls/buns,whole milk,butter,frozen vegetables,,,,,,,
tropical fruit,long life bakery product,,,,,,,,,
whole milk,specialty chocolate,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
misc. beverages,napkins,,,,,,,,,
canned beer,yogurt,salty snack,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
roll products ,root vegetables,mayonnaise,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
ham,bottled water,margarine,,,,,,,,
rolls/buns,rubbing alcohol,pastry,,,,,,,,
whole milk,bottled water,whipped/sour cream,,,,,,,,
onions,cream cheese ,baking powder,,,,,,,,
newspapers,soups,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
soda,snack products,,,,,,,,,
canned beer,organic sausage,tropical fruit,shopping bags,,,,,,,
hygiene articles,semi-finished bread,,,,,,,,,
shopping bags,condensed milk,,,,,,,,,
beef,shopping bags,,,,,,,,,
sausage,brown bread,,,,,,,,,
grapes,honey,,,,,,,,,
tropical fruit,hygiene articles,,,,,,,,,
meat,whole milk,brown bread,shopping bags,waffles,,,,,,
pastry,chewing gum,,,,,,,,,
frankfurter,dog food,,,,,,,,,
cat food,rolls/buns,,,,,,,,,
pastry,red/blush wine,pickled vegetables,,,,,,,,
citrus fruit,shopping bags,tropical fruit,frankfurter,brown bread,rubbing alcohol,domestic eggs,whole milk,,,
ice cream,photo/film,flour,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
sliced cheese,pastry,onions,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
beef,bottled water,soda,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
dessert,house keeping products,,,,,,,,,
tropical fruit,mayonnaise,other vegetables,meat,roll products ,napkins,frozen meals,newspapers,,,
male cosmetics,curd,,,,,,,,,
whole milk,whole milk,,,,,,,,,
photo/film,soda,,,,,,,,,
other vegetables,curd,tropical fruit,brown bread,bottled beer,,,,,,
tropical fruit,butter,,,,,,,,,
other vegetables,frankfurter,whole milk,sausage,misc. beverages,margarine,yogurt,frozen meals,cat food,,
sausage,canned beer,,,,,,,,,
beef,other vegetables,,,,,,,,,
whole milk,candy,semi-finished bread,candy,,,,,,,
pip fruit,butter,,,,,,,,,
hygiene articles,other vegetables,,,,,,,,,
hamburger meat,pork,yogurt,flour,,,,,,,
sausage,yogurt,,,,,,,,,
butter,condensed milk,,,,,,,,,
rolls/buns,dessert,coffee,,,,,,,,
